,index,influenza st pop,influenza dis pop,cc dis pop,flu st pop,flu symp st pop,influenza vaccine vacc pop,prevent flu st pop,YEAR,WEEK,Total Cases
720,2018-12-30,8.572458333333334,25.53571525773196,303.42898765432096,5.476395833333334,7.272969072164947,16.889061224489794,14.571472727272727,2019.0,1.0,5396.0
721,2019-01-06,9.001081249999997,24.37500092783505,246.85748148148147,5.238291666666667,6.545672164948454,17.777959183673467,17.14290909090909,2019.0,2.0,5293.0
722,2019-01-13,10.28695,22.05357226804124,226.286024691358,4.285875,6.1820237113402055,12.444571428571427,17.14290909090909,2019.0,3.0,6860.0
723,2019-01-20,12.001441666666668,23.21428659793815,252.0003456790124,4.523979166666667,6.545672164948454,9.777877551020408,13.714327272727274,2019.0,4.0,8570.0
724,2019-01-27,13.715933333333332,26.69642958762887,308.5718518518518,5.476395833333334,8.000265979381442,10.666775510204081,15.428618181818182,2019.0,5.0,10968.0
725,2019-02-03,15.001802083333333,32.5000012371134,236.5717530864197,6.4288125,9.81850824742268,10.666775510204081,24.85721818181818,2019.0,6.0,13580.0
726,2019-02-10,16.28767083333333,31.339286907216497,236.5717530864197,6.190708333333332,9.454859793814432,9.777877551020408,18.8572,2019.0,7.0,13869.0
727,2019-02-17,16.71629375,31.339286907216497,241.71461728395062,6.190708333333332,9.091211340206183,8.888979591836733,18.000054545454546,2019.0,8.0,14186.0
728,2019-02-24,16.71629375,26.69642958762887,205.71456790123452,5.238291666666667,8.000265979381442,7.1111836734693865,14.571472727272727,2019.0,9.0,13877.0
729,2019-03-03,18.430785416666666,26.69642958762887,216.00029629629628,5.0001875,6.909320618556699,7.1111836734693865,15.428618181818182,2019.0,10.0,13637.0
730,2019-03-10,18.430785416666666,25.53571525773196,174.85738271604941,4.762083333333334,6.545672164948454,6.2222857142857135,12.857181818181818,2019.0,11.0,13945.0
731,2019-03-17,16.71629375,22.05357226804124,164.57165432098762,3.8096666666666663,5.454726804123712,4.4444897959183685,11.14289090909091,2019.0,12.0,10959.0
732,2019-03-24,12.858687499999998,17.41071494845361,144.00019753086426,3.3334583333333336,4.3637814432989686,4.4444897959183685,9.4286,2019.0,13.0,8270.0
733,2019-03-31,9.858327083333332,12.76785762886598,123.42874074074074,2.619145833333333,3.272836082474227,3.5555918367346933,8.571454545454545,2019.0,14.0,5489.0
734,2019-04-07,6.857966666666666,10.446428969072166,97.71441975308643,1.9048333333333332,2.1818907216494843,2.6666938775510203,6.857163636363637,2019.0,15.0,3778.0
735,2019-04-14,5.5720979166666655,8.12500030927835,87.42869135802471,1.428625,1.8182422680412367,1.7777959183673466,4.2857272727272715,2019.0,16.0,2411.0
736,2019-04-21,4.714852083333333,6.964285979381443,82.28582716049381,1.1905208333333337,1.8182422680412367,1.7777959183673466,3.4285818181818186,2019.0,17.0,1444.0
737,2019-04-28,3.85760625,5.803571649484537,82.28582716049381,0.9524166666666668,1.4545938144329895,1.7777959183673466,3.4285818181818186,2019.0,18.0,972.0
738,2019-05-05,3.428983333333333,4.642857319587629,72.00009876543211,0.7143125,1.090945360824742,0.8888979591836733,4.2857272727272715,2019.0,19.0,681.0
739,2019-05-12,2.5717375,4.642857319587629,77.14296296296295,0.7143125,1.090945360824742,0.8888979591836733,2.5714363636363635,2019.0,20.0,602.0
740,2019-05-19,1.7144916666666663,3.4821429896907214,77.14296296296295,0.7143125,0.7272969072164948,0.8888979591836733,3.4285818181818186,2019.0,21.0,536.0
741,2019-05-26,1.28586875,2.3214286597938143,66.85723456790123,0.4762083333333333,0.7272969072164948,0.8888979591836733,1.7142909090909093,2019.0,22.0,443.0
742,2019-06-02,1.28586875,2.3214286597938143,51.428641975308636,0.4762083333333333,0.3636484536082474,0.8888979591836733,2.5714363636363635,2019.0,23.0,352.0
743,2019-06-09,1.28586875,2.3214286597938143,46.285777777777774,0.2381041666666667,0.3636484536082474,0.0,1.7142909090909093,2019.0,24.0,264.0
744,2019-06-16,0.8572458333333333,1.1607143298969071,36.000049382716064,0.2381041666666667,0.3636484536082474,0.8888979591836733,0.8571454545454547,2019.0,25.0,199.0
745,2019-06-23,0.8572458333333333,1.1607143298969071,30.857185185185184,0.2381041666666667,0.3636484536082474,0.8888979591836733,1.7142909090909093,2019.0,26.0,190.0
746,2019-06-30,0.4286229166666666,1.1607143298969071,25.714320987654318,0.0,0.0,0.0,0.8571454545454547,2019.0,27.0,215.0
747,2019-07-07,0.8572458333333333,1.1607143298969071,25.714320987654318,0.2381041666666667,0.0,0.8888979591836733,1.7142909090909093,2019.0,28.0,183.0
748,2019-07-14,0.8572458333333333,1.1607143298969071,20.571456790123452,0.2381041666666667,0.0,0.8888979591836733,0.8571454545454547,2019.0,29.0,185.0
749,2019-07-21,0.8572458333333333,1.1607143298969071,25.714320987654318,0.2381041666666667,0.0,0.8888979591836733,1.7142909090909093,2019.0,30.0,189.0
750,2019-07-28,0.8572458333333333,1.1607143298969071,20.571456790123452,0.0,0.0,0.8888979591836733,0.8571454545454547,2019.0,31.0,189.0
751,2019-08-04,0.4286229166666666,1.1607143298969071,25.714320987654318,0.2381041666666667,0.3636484536082474,1.7777959183673466,0.0,2019.0,32.0,166.0
752,2019-08-11,0.4286229166666666,2.3214286597938143,36.000049382716064,0.2381041666666667,0.0,4.4444897959183685,1.7142909090909093,2019.0,33.0,173.0
753,2019-08-18,1.28586875,3.4821429896907214,51.428641975308636,0.7143125,0.3636484536082474,7.1111836734693865,3.4285818181818186,2019.0,34.0,210.0
754,2019-08-25,1.28586875,4.642857319587629,66.85723456790123,0.9524166666666668,0.3636484536082474,9.777877551020408,1.7142909090909093,2019.0,35.0,363.0
755,2019-09-01,1.7144916666666663,6.964285979381443,82.28582716049381,1.1905208333333337,0.7272969072164948,15.111265306122448,1.7142909090909093,2019.0,36.0,366.0
756,2019-09-08,2.5717375,10.446428969072166,92.57155555555555,1.9048333333333332,1.090945360824742,24.889142857142854,4.2857272727272715,2019.0,37.0,332.0
757,2019-09-15,3.428983333333333,13.928571958762886,118.28587654320988,2.85725,1.4545938144329895,36.444816326530606,5.142872727272726,2019.0,38.0,415.0
758,2019-09-22,3.85760625,19.732143608247426,123.42874074074074,4.047770833333334,2.1818907216494843,53.3338775510204,6.857163636363637,2019.0,39.0,476.0
759,2019-09-29,4.714852083333333,24.37500092783505,123.42874074074074,4.762083333333334,2.1818907216494843,70.2229387755102,7.714309090909091,2019.0,40.0,260.0
760,2019-10-06,5.143475,30.17857257731959,128.5716049382716,5.952604166666667,2.9091876288659786,85.33420408163265,7.714309090909091,2019.0,41.0,327.0
761,2019-10-13,4.714852083333333,27.857143917525768,144.00019753086426,5.7145,2.9091876288659786,78.22302040816326,8.571454545454545,2019.0,42.0,359.0
762,2019-10-20,4.714852083333333,25.53571525773196,133.71446913580246,5.238291666666667,3.272836082474227,68.44514285714286,9.4286,2019.0,43.0,555.0
763,2019-10-27,4.714852083333333,22.05357226804124,154.2859259259259,4.285875,2.9091876288659786,54.22277551020408,7.714309090909091,2019.0,44.0,777.0
764,2019-11-03,5.5720979166666655,23.21428659793815,174.85738271604941,4.523979166666667,3.6364845360824734,48.88938775510204,9.4286,2019.0,45.0,1489.0
765,2019-11-10,5.5720979166666655,20.892857938144328,200.5717037037037,4.047770833333334,4.000132989690721,40.000408163265305,7.714309090909091,2019.0,46.0,2124.0
766,2019-11-17,6.429343749999999,23.21428659793815,185.1431111111111,4.285875,4.3637814432989686,33.77812244897959,12.000036363636365,2019.0,47.0,3479.0
767,2019-11-24,5.5720979166666655,17.41071494845361,180.00024691358024,3.5715625,4.000132989690721,22.222448979591835,8.571454545454545,2019.0,48.0,3870.0
768,2019-12-01,9.001081249999997,22.05357226804124,216.00029629629628,4.285875,5.091078350515462,24.00024489795918,10.285745454545452,2019.0,49.0,4885.0
769,2019-12-08,10.715572916666666,25.53571525773196,205.71456790123452,5.0001875,5.818375257731957,24.889142857142854,15.428618181818182,2019.0,50.0,7250.0
770,2019-12-15,14.573179166666666,31.339286907216497,267.4289382716049,6.4288125,8.000265979381442,23.11134693877551,19.71434545454545,2019.0,51.0,12246.0
771,2019-12-22,20.145277083333326,42.94643020618557,339.42903703703706,8.333645833333334,11.636750515463914,18.666857142857143,26.57150909090909,2019.0,52.0,17213.0
772,2019-12-29,20.145277083333326,41.785715876288656,349.71476543209883,8.333645833333334,10.909453608247423,19.555755102040816,23.14292727272727,2020.0,1.0,15264.0
773,2020-01-05,19.716654166666665,40.62500154639175,277.71466666666663,8.095541666666668,10.545805154639174,23.11134693877551,23.14292727272727,2020.0,2.0,13977.0
774,2020-01-12,24.00288333333333,42.94643020618557,226.286024691358,8.095541666666668,10.909453608247423,23.11134693877551,27.42865454545455,2020.0,3.0,15674.0
775,2020-01-19,29.146358333333332,52.232144845360835,262.2860740740741,9.762270833333334,10.909453608247423,20.44465306122449,31.71438181818182,2020.0,4.0,17777.0
776,2020-01-26,39.86193125,71.96428845360825,272.57180246913583,13.5719375,13.454992783505151,23.11134693877551,55.714454545454544,2020.0,5.0,21202.0
777,2020-02-02,37.718816666666655,66.16071680412372,272.57180246913583,12.381416666666668,13.818641237113399,17.777959183673467,38.57154545454546,2020.0,6.0,20931.0
778,2020-02-09,35.57570208333333,55.71428783505154,257.1432098765432,10.476583333333334,12.000398969072164,15.111265306122448,30.00009090909091,2020.0,7.0,19454.0
779,2020-02-16,31.71809583333333,49.910716185567004,231.4288888888889,9.047958333333334,10.182156701030928,12.444571428571427,25.71436363636364,2020.0,8.0,11249.0
