,index,influenza st pop,influenza dis pop,cc dis pop,flu st pop,flu symp st pop,influenza vaccine vacc pop,prevent flu st pop
393,2012-09-23,3.428983333333333,10.00000038065028,88.00012041152222,2.000075,1.818242268041237,18.666809523445092,3.9999992929315606
394,2012-09-30,3.809981481481481,12.142857605075339,82.0001122016457,2.4286625,2.0000664948453606,23.333511904306366,4.99999911616445
395,2012-10-07,3.238484259259259,12.142857605075339,88.00012041152222,2.4286625,2.1818907216494843,23.333511904306366,2.99999946969867
396,2012-10-14,3.428983333333333,11.428571863600318,80.0001094650202,2.2858,2.363714948453608,20.666824829528494,3.499999381315115
397,2012-10-21,3.428983333333333,10.714286122125298,78.00010672839468,2.1429375,2.363714948453608,18.666809523445092,3.9999992929315606
398,2012-10-28,3.0479851851851847,9.285714639175257,84.00011493827121,1.8572125000000002,2.1818907216494843,13.333435373889351,4.499999204548005
399,2012-11-04,3.619482407407407,8.571428897700237,86.00011767489671,1.8572125000000002,2.1818907216494843,12.000091836500417,3.499999381315115
400,2012-11-11,4.000480555555555,10.00000038065028,92.00012588477323,2.000075,2.5455391752577317,12.000091836500417,3.9999992929315606
401,2012-11-18,2.857486111111111,8.571428897700237,88.00012041152222,1.8572125000000002,2.5455391752577317,8.00006122433361,5.499999027780895
402,2012-11-25,4.571977777777777,10.714286122125298,108.00014777777727,2.2858,3.272836082474227,9.333404761722546,9.499998320712455
403,2012-12-02,6.476968518518518,16.428572053925457,104.00014230452626,3.2858375,4.545605670103092,16.00012244866722,11.99999787879468
404,2012-12-09,6.095970370370369,15.714286312450437,112.00015325102828,3.1429750000000003,4.90925412371134,12.000091836500417,9.499998320712455
405,2012-12-16,7.429463888888888,15.714286312450437,130.00017788065782,3.2858375,5.636551030927834,8.666732993028079,16.499997083342688
406,2012-12-23,7.619962962962962,18.571429278350514,166.0002271399169,3.8572875000000004,6.9093206185567,7.333389455639144,16.499997083342688
407,2012-12-30,9.715452777777777,25.000000951625694,182.00024903292095,5.0001875,8.000265979381442,13.333435373889351,17.99999681819202
408,2013-01-06,19.049907407407407,71.42857414750198,200.00027366255048,14.28625,18.18242268041237,66.66717686944676,49.9999911616445
409,2013-01-13,15.049426851851852,55.71428783505155,184.00025176954645,11.000412500000001,17.63695,46.66702380861273,38.99999310608271
410,2013-01-20,10.858447222222221,30.71428688342585,166.0002271399169,6.1430875,11.273102061855669,16.00012244866722,16.499997083342688
411,2013-01-27,8.95345648148148,20.71428650277558,134.00018335390885,4.285875,8.182090206185567,8.00006122433361,12.499997790411125
412,2013-02-03,7.048465740740741,15.714286312450437,120.0001641975303,3.1429750000000003,6.1820237113402055,5.333374149555741,11.499997967178235
413,2013-02-10,6.095970370370369,12.142857605075339,104.00014230452626,2.4286625,4.3637814432989686,3.333358843472338,5.99999893939734
414,2013-02-17,5.3339740740740735,11.428571863600318,114.00015598765377,2.2858,4.181957216494845,3.333358843472338,7.999998585863121
415,2013-02-24,4.952975925925926,10.00000038065028,98.00013409464974,2.000075,3.45466030927835,2.6666870747778706,5.499999027780895
416,2013-03-03,4.762476851851852,8.571428897700237,98.00013409464974,2.000075,3.272836082474227,2.0000153060834025,5.499999027780895
417,2013-03-10,4.381478703703704,7.857143156225218,88.00012041152222,1.71435,2.909187628865979,2.0000153060834025,3.9999992929315606
418,2013-03-17,4.190979629629629,7.857143156225218,86.00011767489671,1.5714875000000001,2.727363402061856,2.0000153060834025,4.499999204548005
419,2013-03-24,3.428983333333333,6.4285716732751785,84.00011493827121,1.428625,2.363714948453608,1.3333435373889353,4.99999911616445
420,2013-03-31,3.619482407407407,6.4285716732751785,76.00010399176918,1.5714875000000001,2.1818907216494843,1.3333435373889353,4.499999204548005
421,2013-04-07,3.619482407407407,5.714285931800159,68.00009304526716,1.428625,1.818242268041237,1.3333435373889353,3.499999381315115
